OBJECTID,DESCRIPTION,NAME,OWNER,ADDRESS,SUBURB,STATE,LATITUDE,LONGITUDE
756,An establishment where a range of fuel products can be purchased by motorists,Caltex Secret Harbour,Caltex,420 Secret Harbour Boulevard,Secret Harbour,Western Australia,-32.407128,115.759332
757,An establishment where a range of fuel products can be purchased by motorists,Independent Serpentine,Independent Fuel Supplies,South Western Highway and Falls Road,Serpentine,Western Australia,-32.364869,115.991811
758,An establishment where a range of fuel products can be purchased by motorists,Independent Gulgong,Independent Fuel Supplies,45 Medley Street,Gulgong,New South Wales,-32.36095,149.532715
759,An establishment where a range of fuel products can be purchased by motorists,Caltex Baldivis,Caltex,614 Baldivis Road,Baldivis,Western Australia,-32.330873,115.820897
760,An establishment where a range of fuel products can be purchased by motorists,Caltex Woolworths Warnbro,Caltex,2 Bristol Street,Warnbro,Western Australia,-32.328947,115.758812
761,An establishment where a range of fuel products can be purchased by motorists,Independent Mundijong,Independent Fuel Supplies,20-24 Paterson Street,Mundijong,Western Australia,-32.295626,115.985453
762,An establishment where a range of fuel products can be purchased by motorists,Caltex Woolworths Rockingham,Caltex,29 Dixon Road,Rockingham,Western Australia,-32.276863,115.749901
763,An establishment where a range of fuel products can be purchased by motorists,Caltex Kwinana,Caltex,Mandurah Road and Beach Street,Kwinana Beach,Western Australia,-32.24551462,115.7825304
764,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Kwinana,Caltex,8A Chisham Avenue,Kwinana Town Centre,Western Australia,-32.244553,115.815578
765,An establishment where a range of fuel products can be purchased by motorists,Caltex Byford,Caltex,South Western Highway and Nettleton Road,Byford,Western Australia,-32.226372,116.00805
766,An establishment where a range of fuel products can be purchased by motorists,Caltex Penong,Caltex,Eyre Highway,Penong,South Australia,-31.928263,133.009621
767,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Joondalup,Caltex,189 Winton Road,Joondalup,Western Australia,-31.744569,115.76321
768,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Currambine,Caltex,Shenton Avenue and Cuba Way,Currambine,Western Australia,-31.742192,115.740361
769,An establishment where a range of fuel products can be purchased by motorists,Caltex Woolworths Joondalup,Caltex,8 Dwyer Turn,Joondalup,Western Australia,-31.741162,115.764167
770,An establishment where a range of fuel products can be purchased by motorists,Caltex Gilgandra,Caltex,6425 Newell Highway,Gilgandra,New South Wales,-31.725525,148.653018
771,An establishment where a range of fuel products can be purchased by motorists,Caltex Woolworths Clarkson,Caltex,7 Ocean Keys Boulevard,Clarkson,Western Australia,-31.689237,115.715429
772,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Northam,Caltex,86 Wellington Street,Northam,Western Australia,-31.655114,116.671535
773,An establishment where a range of fuel products can be purchased by motorists,Caltex Northam,Caltex,Peel Terrace and Duke Street East,Northam,Western Australia,-31.649909,116.677227
774,An establishment where a range of fuel products can be purchased by motorists,Caltex Nowergup,Caltex,2624 Wanneroo Road,Nowergup,Western Australia,-31.625796,115.718745
775,An establishment where a range of fuel products can be purchased by motorists,Caltex Toodyay,Caltex,Toodyay Road and Goomalling-Toodyay Road,Toodyay,Western Australia,-31.555486,116.475565
776,An establishment where a range of fuel products can be purchased by motorists,Ampol Toodyay,Ampol,Stirling Terrace and Harper Road,Toodyay,Western Australia,-31.550466,116.464466
777,An establishment where a range of fuel products can be purchased by motorists,Caltex Chittering,Caltex,5066 Great Northern Highway,Chittering,Western Australia,-31.465147,116.053632
778,An establishment where a range of fuel products can be purchased by motorists,Caltex Bindoon,Caltex,7 Binda Place,Bindoon,Western Australia,-31.385507,116.095649
779,An establishment where a range of fuel products can be purchased by motorists,Caltex Walcha,Caltex,50E Fitzroy Street,Walcha,New South Wales,-30.985924,151.595989
780,An establishment where a range of fuel products can be purchased by motorists,Independent Walcha,Caltex,108 West Fitzroy Street,Walcha,New South Wales,-30.984135,151.587532
781,An establishment where a range of fuel products can be purchased by motorists,Independent Wongan Hills,Independent Fuel Supplies,244 Wongan Road,Wongan Hills,Western Australia,-30.890388,116.714917
782,An establishment where a range of fuel products can be purchased by motorists,Caltex Kalgoorlie,Caltex,2 Cunningham Drive,West Kalgoorlie,Western Australia,-30.780834,121.433762
783,An establishment where a range of fuel products can be purchased by motorists,Caltex Kalgoorlie,Caltex,581 Hannan Street,Somerville,Western Australia,-30.764702,121.452803
784,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Kalgoorlie,Caltex,104 Brookman Street,Kalgoorlie,Western Australia,-30.74841,121.468754
785,An establishment where a range of fuel products can be purchased by motorists,Caltex Uralla,Caltex,103 Bridge Street,Uralla,New South Wales,-30.645426,151.493504
786,An establishment where a range of fuel products can be purchased by motorists,Caltex Guyra,Independent Fuel Supplies,87-89 Bradley Street,Guyra,New South Wales,-30.217282,151.672273
787,An establishment where a range of fuel products can be purchased by motorists,Bogas Bourke,Independent Fuel Supplies,87 Mitchell Street,Bourke,New South Wales,-30.08941,145.944526
788,An establishment where a range of fuel products can be purchased by motorists,Independent Walgett,Independent Fuel Supplies,110 Fox Street,Walgett,New South Wales,-30.025947,148.115578
789,An establishment where a range of fuel products can be purchased by motorists,Caltex Inverell,Caltex,141 Otho Street,Inverell,New South Wales,-29.778146,151.114535
790,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Inverell,Caltex,262 Byron Street,Inverell,New South Wales,-29.768475,151.118502
791,An establishment where a range of fuel products can be purchased by motorists,Caltex Moree,Caltex,Lot 10 Tycannah Street,Moree,New South Wales,-29.486463,149.852035
792,An establishment where a range of fuel products can be purchased by motorists,Caltex Moree,Caltex,343 Frome Street,Moree,New South Wales,-29.473331,149.842645
793,An establishment where a range of fuel products can be purchased by motorists,Caltex Moree,Caltex,304 Frome Street,Moree,New South Wales,-29.471587,149.843321
794,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Moree,Caltex,211-213 Balo Street,Moree,New South Wales,-29.466942,149.841207
795,An establishment where a range of fuel products can be purchased by motorists,Caltex Lightning Ridge,Caltex,1 Morilla Street,Lightning Ridge,New South Wales,-29.42924,147.974752
796,An establishment where a range of fuel products can be purchased by motorists,Independent Mungindi,Independent Fuel Supplies,36 Street George Street,Mungindi,New South Wales,-28.978294,148.998315
797,An establishment where a range of fuel products can be purchased by motorists,Caltex Lennox Head,Caltex,44-48 Byron Street,Lennox Head,New South Wales,-28.791897,153.588339
798,An establishment where a range of fuel products can be purchased by motorists,Caltex Geraldton,Caltex,50 Rifle Range Road,Rangeway,Western Australia,-28.784407,114.629344
799,An establishment where a range of fuel products can be purchased by motorists,Independent Moonyoonooka,Independent Fuel Supplies,753 Geraldton-Mount Magnet Road,Moonyoonooka,Western Australia,-28.782181,114.722339
800,An establishment where a range of fuel products can be purchased by motorists,Caltex Geraldton,Caltex,295 Marine Terrace,Geraldton,Western Australia,-28.777063,114.603681
801,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Geraldton,Caltex,59 Cathedral Avenue,Geraldton,Western Australia,-28.775893,114.61118
802,An establishment where a range of fuel products can be purchased by motorists,Caltex Geraldton,Caltex,120 Flores Road,Webberton,Western Australia,-28.75117545,114.6287356
803,An establishment where a range of fuel products can be purchased by motorists,Caltex Geraldton,Caltex,381-385 Chapman Road,Bluff Point,Western Australia,-28.741459,114.6224
804,An establishment where a range of fuel products can be purchased by motorists,Ampol Bonalbo,Independent Fuel Supplies,62 Woodenbong Road,Bonalbo,New South Wales,-28.735777,152.622376
805,An establishment where a range of fuel products can be purchased by motorists,Caltex Sunset Beach Geraldton,Caltex,620 Chapman Road,Glenfield,Western Australia,-28.719736,114.627298
806,An establishment where a range of fuel products can be purchased by motorists,Caltex Kyogle,Caltex,22-26 Summerland Way,Kyogle,New South Wales,-28.618039,153.003859
807,An establishment where a range of fuel products can be purchased by motorists,Caltex Beaudesert,Caltex,34 Telemon Street,Beaudesert,Queensland,-27.995626,152.991089
808,An establishment where a range of fuel products can be purchased by motorists,Caltex Beaudesert South,Caltex,2 Telemon Street,Beaudesert,Queensland,-27.9916,152.993698
809,An establishment where a range of fuel products can be purchased by motorists,IFS Beaudesert,Independent Fuel Supplies,3 Telemon Street,Beaudesert,Queensland,-27.98908,152.994453
810,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Southport Park,Caltex,163 Ferry Road,Southport,Queensland,-27.986029,153.408644
811,An establishment where a range of fuel products can be purchased by motorists,Ampol Beaudesert,Ampol,106 Brisbane Street,Beaudesert,Queensland,-27.98358,152.994873
812,An establishment where a range of fuel products can be purchased by motorists,Caltex Beaudesert,Caltex,205 Brisbane Street,Beaudesert,Queensland,-27.978121,152.993896
813,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Australia Fair,Caltex,64 Ferry Road,Southport,Queensland,-27.976836,153.411509
814,An establishment where a range of fuel products can be purchased by motorists,Caltex Ashmore,Independent Fuel Supplies,323 Southport-Nerang Road,Southport,Queensland,-27.976032,153.381531
815,An establishment where a range of fuel products can be purchased by motorists,Caltex Southport,Caltex,152 Smith Street,Southport,Queensland,-27.962196,153.395365
816,An establishment where a range of fuel products can be purchased by motorists,Caltex Woolworths Labrador North,Caltex,150 Brisbane Road,Labrador North,Queensland,-27.935017,153.390912
817,An establishment where a range of fuel products can be purchased by motorists,Caltex Woolworths Coombabah,Caltex,384 Oxley Drive,Coombabah,Queensland,-27.912154,153.388351
818,An establishment where a range of fuel products can be purchased by motorists,Ampol Runaway Bay,Ampol,205 Bayview Street,Runaway Bay,Queensland,-27.903975,153.401847
819,An establishment where a range of fuel products can be purchased by motorists,Independent Cue,Independent Fuel Supplies,51-53 Austin Street,Cue,Western Australia,-27.423845,117.897208
820,An establishment where a range of fuel products can be purchased by motorists,Independent Crows Nest,Independent Fuel Supplies,36 Emu Creek Road,Crows Nest,Queensland,-27.25642,152.05282
821,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Beerwah,Caltex,Peachester Road,Beerwah,Queensland,-26.856709,152.955223
822,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Caloundra,Caltex,37 Caloundra Road,Caloundra West,Queensland,-26.795868,153.110542
823,An establishment where a range of fuel products can be purchased by motorists,Caltex Caloundra,Caltex,20 Newing Way,Caloundra West,Queensland,-26.789977,153.111389
824,An establishment where a range of fuel products can be purchased by motorists,Caltex Jandowae,Caltex,31 High Street,Jandowae,Queensland,-26.779707,151.108963
825,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Currimundi,Caltex,Cnr Bellara Drive and Nicklin Way,Currimundi,Queensland,-26.77384,153.122093
826,An establishment where a range of fuel products can be purchased by motorists,Caltex Currimundi,Caltex,744-746 Nicklin Way,Currimundi,Queensland,-26.771656,153.1229
827,An establishment where a range of fuel products can be purchased by motorists,Caltex Kawana Waters,Caltex,12 Textile Avenue,Kawana Waters,Queensland,-26.729537,153.123866
828,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Buderim,Caltex,18 University Way,Sippy Downs,Queensland,-26.718447,153.050435
829,An establishment where a range of fuel products can be purchased by motorists,Caltex Tanawha,Independent Fuel Supplies,420 Tanawha Tourist Drive,Tanawha,Queensland,-26.712657,153.047289
830,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Mountain Creek,Caltex,Lot 2 Karawatha Drive,Mountain Creek,Queensland,-26.693783,153.090473
831,An establishment where a range of fuel products can be purchased by motorists,Caltex Buderim,Caltex,69 Enterprise Street,Kunda Park,Queensland,-26.670065,153.02668
832,An establishment where a range of fuel products can be purchased by motorists,Caltex Woolworths Maroochydore,Caltex,78-84 Aerodrome Road,Maroochydore,Queensland,-26.659425,153.097256
833,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Nambour,Caltex,178 Currie Street,Nambour,Queensland,-26.630525,152.95972
834,An establishment where a range of fuel products can be purchased by motorists,Caltex Bli Bli,Caltex,297 David Low Way,Bli Bli,Queensland,-26.622458,153.042221
835,An establishment where a range of fuel products can be purchased by motorists,Caltex Nambour,Caltex,19-21 Rigby Street,Nambour,Queensland,-26.618433,152.962596
836,An establishment where a range of fuel products can be purchased by motorists,Caltex Meekatharra,Caltex,Great Northern Highway and Gascoyne Junction Road,Meekatharra,Western Australia,-26.596293,118.493361
837,An establishment where a range of fuel products can be purchased by motorists,Caltex Peregian Beach South,Caltex,2215 David Low Way,Peregian Beach South,Queensland,-26.489636,153.093895
838,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Noosaville,Caltex,28 Eenie Creek Road,Noosaville,Queensland,-26.411947,153.049695
839,An establishment where a range of fuel products can be purchased by motorists,Caltex Noosaville,Caltex,13 Venture Drive,Noosaville,Queensland,-26.408036,153.044805
840,An establishment where a range of fuel products can be purchased by motorists,Caltex Tewantin,Caltex,44 Doonella Street,Tewantin,Queensland,-26.392701,153.039006
841,An establishment where a range of fuel products can be purchased by motorists,Caltex Pomona,Caltex,19 Factory Street,Pomona,Queensland,-26.36412,152.856262
842,An establishment where a range of fuel products can be purchased by motorists,Caltex Gympie South,Caltex,46 Geordie Road,Gympie South,Queensland,-26.218655,152.686242
843,An establishment where a range of fuel products can be purchased by motorists,Caltex Gympie,Caltex,176 Brisbane Road,Gympie,Queensland,-26.21011,152.683243
844,An establishment where a range of fuel products can be purchased by motorists,Caltex Gympie South,Caltex,46 Geordie Road,Gympie,Queensland,-26.21872536,152.6862264
845,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Gympie,Caltex,14 Wickham Street,Gympie,Queensland,-26.192022,152.657089
846,An establishment where a range of fuel products can be purchased by motorists,Independent Gympie,BP,88 Mellor Street,Gympie,Queensland,-26.186968,152.669122
847,An establishment where a range of fuel products can be purchased by motorists,Caltex Denham,Caltex,85-87 Knight Terrace,Denham,Western Australia,-25.929256,113.537199
848,An establishment where a range of fuel products can be purchased by motorists,Independent Tin Can Bay,Caltex,130 Emperor Street,Tin Can Bay,Queensland,-25.914932,152.997783
849,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Maryborough,Caltex,110 Adelaide Street,Maryborough,Queensland,-25.540544,152.699551
850,An establishment where a range of fuel products can be purchased by motorists,Ampol Maryborough,Independent Fuel Supplies,Cnr John and Walker Street,Maryborough,Queensland,-25.532659,152.702856
851,An establishment where a range of fuel products can be purchased by motorists,Caltex Maryborough,Caltex,415 Alice Street,Maryborough,Queensland,-25.532345,152.688549
852,An establishment where a range of fuel products can be purchased by motorists,Ampol Newman,Ampol,21 Willis Street,Newman,Western Australia,-23.370584,119.732579
853,An establishment where a range of fuel products can be purchased by motorists,Caltex Exmouth,Caltex,77 Maidstone Crescent,Exmouth,Western Australia,-21.932725,114.127371
854,An establishment where a range of fuel products can be purchased by motorists,Ampol Marble Bar,Ampol,40 Halse Road,Marble Bar,Western Australia,-21.174778,119.750472
855,An establishment where a range of fuel products can be purchased by motorists,Caltex Karratha,Caltex,25-27 Bathgate Road,Karratha,Western Australia,-20.744012,116.809089
856,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Karratha,Caltex,13-17 Warambie Road,Karratha,Western Australia,-20.732852,116.843902
857,An establishment where a range of fuel products can be purchased by motorists,Caltex South Hedland,Caltex,67-71 Hamilton Road,South Hedland,Western Australia,-20.401458,118.595245
858,An establishment where a range of fuel products can be purchased by motorists,Woolworths Caltex Port Hedland,Caltex,Lot 835 Wilson Street,Port Hedland,Western Australia,-20.311953,118.607798
859,An establishment where a range of fuel products can be purchased by motorists,Kel Campbell Pty Ltd,Independent Fuel Supplies,345 Princes Highway,Milton,New South Wales,-35.33128147,150.4494952
860,An establishment where a range of fuel products can be purchased by motorists,Direct Fuel Supplies,Caltex,3 Spencer Street,Bridgetown,Western Australia,-33.95900404,116.1384898
861,An establishment where a range of fuel products can be purchased by motorists,Caltex,Caltex,Lot 429 Wake Road,Cleve,South Australia,-33.70145612,136.4833245
862,An establishment where a range of fuel products can be purchased by motorists,Oilsplus Pty Ltd,Caltex,63 Lowes Mount Road,Oberon,New South Wales,-33.69502131,149.856423
863,An establishment where a range of fuel products can be purchased by motorists,Craybrook Nominees P/L,Caltex,84 Strelly Street,Busselton,Western Australia,-33.66283077,115.3485824
864,An establishment where a range of fuel products can be purchased by motorists,Caltex Bourke ,Caltex,85 Anson Street,Bourke,New South Wales,-30.09481881,145.941454
865,An establishment where a range of fuel products can be purchased by motorists,Geraldton Fuel,Caltex,214 Shenton Street,West End,Western Australia,-28.7828882,114.59755
866,An establishment where a range of fuel products can be purchased by motorists,South East Queensland Fuels Pty Ltd,Caltex,Cnr Gibbs Street and Gold Coast Highway,Biggera Waters,Queensland,-27.9338094,153.3832698
867,An establishment where a range of fuel products can be purchased by motorists,McClintocks Fuel Supplies,Ampol,116 Noosa Road,Gympie,Queensland,-26.175068,152.680154
868,An establishment where a range of fuel products can be purchased by motorists,Fraser Coast Fuel Pty Ltd,Caltex,182 Kent Street,Maryborough,Queensland,-25.54453803,152.7111746
869,An establishment where a range of fuel products can be purchased by motorists,Mobil Kingston,7-Eleven Pty Ltd,12 Princes Highway,Rosetown,South Australia,-36.822276,139.864237
870,An establishment where a range of fuel products can be purchased by motorists,Charlton,Caltex,Calder Highway,Charlton,Victoria,-36.27090545,143.3531399
871,An establishment where a range of fuel products can be purchased by motorists,Mobil Walbundrie,Independent Fuel Supplies,Walbundrie Road,Walbundrie,New South Wales,-35.691278,146.721511
872,An establishment where a range of fuel products can be purchased by motorists,Mobil Swan Hill,7-Eleven Pty Ltd,1-9 Beveridge Street,Swan Hill,Victoria,-35.334333,143.557057
873,An establishment where a range of fuel products can be purchased by motorists,Mobil Tumut,7-Eleven Pty Ltd,42-44 Adelong Road,Tumut,New South Wales,-35.295856,148.212779
874,An establishment where a range of fuel products can be purchased by motorists,Mobil Pinnaroo,7-Eleven Pty Ltd,Mallee Highway,Pinnaroo,South Australia,-35.260176,140.915172
875,An establishment where a range of fuel products can be purchased by motorists,Mobil Tailem Bend,7-Eleven Pty Ltd,Lot 519 Princes Highway,Tailem Bend,South Australia,-35.240005,139.440161
876,An establishment where a range of fuel products can be purchased by motorists,Mobil South Gundagai,Independent Fuel Supplies,107 Eagle Street,South Gundagai,New South Wales,-35.08385,148.095977
877,An establishment where a range of fuel products can be purchased by motorists,Mobil Manangatang,7-Eleven Pty Ltd,21 Wattle Street,Manangatang,Victoria,-35.053792,142.88232
878,An establishment where a range of fuel products can be purchased by motorists,Mobil Mypolonga,7-Eleven Pty Ltd,Coolibah Road and Carawatha Road,Mypolonga,South Australia,-35.028415,139.347799
879,An establishment where a range of fuel products can be purchased by motorists,Mobil Port Lincoln,7-Eleven Pty Ltd,1 Swaffer Street,Port Lincoln,South Australia,-34.732913,135.85501
880,An establishment where a range of fuel products can be purchased by motorists,Mobil Port Lincoln,7-Eleven Pty Ltd,8-28 Hallet Place,Port Lincoln,South Australia,-34.720043,135.855735
881,An establishment where a range of fuel products can be purchased by motorists,Mobil North Shields,7-Eleven Pty Ltd,Lot 1 Lincoln Highway,North Shields,South Australia,-34.629747,135.863585
882,An establishment where a range of fuel products can be purchased by motorists,Mobil Coffin Bay,7-Eleven Pty Ltd,113 Esplanade,Coffin Bay,South Australia,-34.623168,135.471127
883,An establishment where a range of fuel products can be purchased by motorists,Mobil Robinvale,7-Eleven Pty Ltd,70-74 Bromley Road,Robinvale,Victoria,-34.583261,142.770582
884,An establishment where a range of fuel products can be purchased by motorists,Mobil Mittagong,7-Eleven Pty Ltd,51 Main Street,Mittagong,New South Wales,-34.449993,150.45009
885,An establishment where a range of fuel products can be purchased by motorists,Mobil Loxton,7-Eleven Pty Ltd,20 Bookpurnong Road,Loxton,South Australia,-34.449626,140.574051
886,An establishment where a range of fuel products can be purchased by motorists,Mobil Tumby Bay,7-Eleven Pty Ltd,Bratten Way and Trezise Street,Tumby Bay,South Australia,-34.375163,136.097656
887,An establishment where a range of fuel products can be purchased by motorists,Mobil Tumby Bay,7-Eleven Pty Ltd,1 Bratten Way,Tumby Bay,South Australia,-34.374847,136.100089
888,An establishment where a range of fuel products can be purchased by motorists,Mobil Meribein South,7-Eleven Pty Ltd,Sturt Highway and Cowanna Avenue,Merbein South,Victoria,-34.215307,142.026025
889,An establishment where a range of fuel products can be purchased by motorists,Mobil Mildura,7-Eleven Pty Ltd,787-793 Fifteenth Street,Mildura,Victoria,-34.210868,142.142178
890,An establishment where a range of fuel products can be purchased by motorists,Mobil Mildura,7-Eleven Pty Ltd,90 Seventh Street,Mildura,Victoria,-34.186612,142.168622
891,An establishment where a range of fuel products can be purchased by motorists,Mobil Wentworth,7-Eleven Pty Ltd,67 Silver City Highway,Wentworth,New South Wales,-34.106754,141.918021
892,An establishment where a range of fuel products can be purchased by motorists,Mobil Dareton,7-Eleven Pty Ltd,17 Tapio Street,Coomealla,New South Wales,-34.096054,142.042403
893,An establishment where a range of fuel products can be purchased by motorists,Mobil Arno Bay,Independent Fuel Supplies,33 Tel El Kebir Terrace,Arno Bay,South Australia,-33.911717,136.568575
894,An establishment where a range of fuel products can be purchased by motorists,Mobil Oberon,7-Eleven Pty Ltd,84 Oberon Street,Oberon,New South Wales,-33.704965,149.860457
895,An establishment where a range of fuel products can be purchased by motorists,Mobil Cleve,Independent Fuel Supplies,1 Cowell Road,Cleve,South Australia,-33.702216,136.499781
896,An establishment where a range of fuel products can be purchased by motorists,Mobil Hillston,7-Eleven Pty Ltd,165-167 Cowper Street,Hillston,New South Wales,-33.490605,145.537777
897,An establishment where a range of fuel products can be purchased by motorists,Mobil Whyalla,7-Eleven Pty Ltd,3 Beerworth Avenue,Whyalla,South Australia,-33.02254,137.564924
898,An establishment where a range of fuel products can be purchased by motorists,Mobil Streaky Bay,7-Eleven Pty Ltd,48-52 Wells Street,Streaky Bay,South Australia,-32.79688,134.209604
899,An establishment where a range of fuel products can be purchased by motorists,Mobil Mudgee,7-Eleven Pty Ltd,15 Castlereagh Highway,Mudgee,New South Wales,-32.606704,149.599765
900,An establishment where a range of fuel products can be purchased by motorists,Ceduna,7-Eleven Pty Ltd,55 McKenzie Street,Ceduna,South Australia,-32.121355,133.687134
901,An establishment where a range of fuel products can be purchased by motorists,Mobil Nullarbor,7-Eleven Pty Ltd,Eyre Highway,Border Village,South Australia,-31.450019,130.896022
902,An establishment where a range of fuel products can be purchased by motorists,Mobil Walcha,7-Eleven Pty Ltd,18N Derby Street,Walcha,New South Wales,-30.984558,151.593969
903,An establishment where a range of fuel products can be purchased by motorists,Mobil Leigh Creek,7-Eleven Pty Ltd,Black Oak Drive and Barndioota Road,Leigh Creek,South Australia,-30.59332,138.407991
904,An establishment where a range of fuel products can be purchased by motorists,Mobil Moree,7-Eleven Pty Ltd,65 Greenbah Road,Moree,New South Wales,-29.46206958,149.8228817
905,An establishment where a range of fuel products can be purchased by motorists,Mobil Doonan,7-Eleven Pty Ltd,686 Edmundi Street,Doonan,Queensland,-26.445758,153.022591
906,An establishment where a range of fuel products can be purchased by motorists,Mobil Noosaville,7-Eleven Pty Ltd,207 Gympie Terrace,Noosaville,Queensland,-26.398179,153.06291
907,An establishment where a range of fuel products can be purchased by motorists,Mobil Noosa Heads,7-Eleven Pty Ltd,66 Noosa Drive,Noosa Heads,Queensland,-26.396465,153.088002
908,An establishment where a range of fuel products can be purchased by motorists,Shell Roadhouse Kingston,Shell,Princes Highway,Kingston SE,South Australia,-36.824711,139.861716
909,An establishment where a range of fuel products can be purchased by motorists,Kenwar Motors,Shell,16 Princes Highway,Narooma,New South Wales,-36.213374,150.123306
910,An establishment where a range of fuel products can be purchased by motorists,Tuross Head ,Shell,36 Evans Road,Tuross Head,New South Wales,-36.058764,150.139278
911,An establishment where a range of fuel products can be purchased by motorists,Firelock Fuels Moruya,Shell,5 Princes Highway,Moruya,New South Wales,-35.904499,150.081621
912,An establishment where a range of fuel products can be purchased by motorists,Broulee Supermart,Shell,23 Grant Street,Broulee,New South Wales,-35.853877,150.175952
913,An establishment where a range of fuel products can be purchased by motorists,Coles Express Batehaven,7-Eleven Pty Ltd,264 Beach Road,Batehaven,New South Wales,-35.732511,150.199738
914,An establishment where a range of fuel products can be purchased by motorists,Coles Express Victor Harbour,Shell,165-167 Hindmarsh Road,Victor Harbor,South Australia,-35.551032,138.623129
915,An establishment where a range of fuel products can be purchased by motorists,Coles Express Ulladulla,Shell,153 Princes Highway,Ulladulla,New South Wales,-35.362885,150.472717
916,An establishment where a range of fuel products can be purchased by motorists,Holts Swan Hill,7-Eleven Pty Ltd,6 Pritchard Street,Swan Hill,Victoria,-35.33607,143.559052
917,An establishment where a range of fuel products can be purchased by motorists,Murray Goulburn Swan Hill,Independent Fuel Supplies,113-117 Karinie Street,Swan Hill,Victoria,-35.327429,143.550019
918,An establishment where a range of fuel products can be purchased by motorists,Coles Express Tumut,Shell,168-170 Snowy Mountains Highway,Tumut,New South Wales,-35.302557,148.202246
919,An establishment where a range of fuel products can be purchased by motorists,Coles Express Tailem Bend,Shell,69-71 Princes Highway,Tailem Bend,South Australia,-35.253735,139.453116
920,An establishment where a range of fuel products can be purchased by motorists,Coles Express Gundagai,Shell,99-115 Mount Street,South Gundagai,New South Wales,-35.082261,148.094212
921,An establishment where a range of fuel products can be purchased by motorists,Vincentia Auto Marine,Shell,153 Elizabeth Drive,Vincentia,New South Wales,-35.069973,150.675618
922,An establishment where a range of fuel products can be purchased by motorists,Queen Bee Roadhouse,Independent Fuel Supplies,75-79 Farrell Street,Ouyen,Victoria,-35.061205,142.318359
923,An establishment where a range of fuel products can be purchased by motorists,Littlehampton ,Shell,35 North Terrace,Littlehampton,South Australia,-35.049478,138.859484
924,An establishment where a range of fuel products can be purchased by motorists,Coles Express Albany,Shell,250 Albany Highway,Albany,Western Australia,-35.00979,117.87082
925,An establishment where a range of fuel products can be purchased by motorists,Golden Wattle ,Shell,24 Nockolds Street,Walpole,Western Australia,-34.976569,116.731221
926,An establishment where a range of fuel products can be purchased by motorists,Karri Hi ,Shell,40 South Coast Highway,Denmark,Western Australia,-34.95998,117.35415
927,An establishment where a range of fuel products can be purchased by motorists,Lower King ,Shell,629 Lower King Road,Lower King,Western Australia,-34.949186,117.943591
928,An establishment where a range of fuel products can be purchased by motorists,Coles Express Port Lincoln,Shell,91 Tasman Terrace,Port Lincoln,South Australia,-34.721185,135.860176
929,An establishment where a range of fuel products can be purchased by motorists,Coles Express Moss Vale,Shell,579 Argyle Street,Moss Vale,New South Wales,-34.553033,150.364538
930,An establishment where a range of fuel products can be purchased by motorists,Coles Express Bowral,Shell,426 Bong Bong Street,Bowral,New South Wales,-34.482704,150.417383
931,An establishment where a range of fuel products can be purchased by motorists,Coles Express Mittagong,Shell,224 Old Hume Highway,Mittagong,New South Wales,-34.447282,150.432656
932,An establishment where a range of fuel products can be purchased by motorists,Benetook Automotive,Shell,488-490 Benetook Avenue,Mildura,Victoria,-34.206363,142.167493
933,An establishment where a range of fuel products can be purchased by motorists,Coles Express Waikerie,Shell,1 Peake Terrace,Waikerie,South Australia,-34.178702,139.985154
934,An establishment where a range of fuel products can be purchased by motorists,Coles Express Buronga,Shell,29-39 Sturt Highway,Buronga,New South Wales,-34.171281,142.186464
935,An establishment where a range of fuel products can be purchased by motorists,Coles Express Esperance,Shell,25 Andrew Street,Esperance,Western Australia,-33.861066,121.890575
936,An establishment where a range of fuel products can be purchased by motorists,Causeway ,Shell,88 Causeway Road,Busselton,Western Australia,-33.660947,115.355726
937,An establishment where a range of fuel products can be purchased by motorists,Shell Dunsborough,Shell,Caves Road and Cape Naturaliste Road,Dunsborough,Western Australia,-33.61686,115.1028
938,An establishment where a range of fuel products can be purchased by motorists,Centrepoint Shell,Shell,57-59 Johnston Street,Collie,Western Australia,-33.35734,116.15194
