OBJECTID,DESCRIPTION,NAME,OWNER,ADDRESS,SUBURB,STATE,LATITUDE,LONGITUDE
43,An establishment where a range of fuel products can be purchased by motorists,Coles Express Kingsley,Shell,3-9 Moolanda Boulevard,Kingsley,Western Australia,-31.819744,115.805766
44,An establishment where a range of fuel products can be purchased by motorists,Coles Express Girrawheen,Shell,60 Marangaroo Drive,Girrawheen,Western Australia,-31.834462,115.829036
45,An establishment where a range of fuel products can be purchased by motorists,Coles Express Duncraig,Shell,193 Warwick Road,Duncraig,Western Australia,-31.835614,115.78304
46,An establishment where a range of fuel products can be purchased by motorists,Coles Express Warwick,Shell,274 Erindale Road,Warwick,Western Australia,-31.84448,115.812641
47,An establishment where a range of fuel products can be purchased by motorists,Coles Express Malaga,Shell,492 Alexander Drive,Malaga,Western Australia,-31.86338,115.879245
48,An establishment where a range of fuel products can be purchased by motorists,Coles Express Middle Swan,Shell,30 Great Northern Highway,Middle Swan,Western Australia,-31.87454,116.011063
49,An establishment where a range of fuel products can be purchased by motorists,Coles Express Scarborough,Shell,205 West Coast Highway,Scarborough,Western Australia,-31.892794,115.757194
50,An establishment where a range of fuel products can be purchased by motorists,Coles Express Dianella,Shell,67 Walter Road West,Dianella,Western Australia,-31.905817,115.88263
51,An establishment where a range of fuel products can be purchased by motorists,Coles Express Mount Lawley,Shell,247 Walcott Street,North Perth,Western Australia,-31.923826,115.859166
52,An establishment where a range of fuel products can be purchased by motorists,Coles Express Highgate,Shell,3 Guildford Road,Mount Lawley,Western Australia,-31.93816,115.877089
53,An establishment where a range of fuel products can be purchased by motorists,Coles Express Perth,Shell,480-484 William Street,Perth,Western Australia,-31.940867,115.86411
54,An establishment where a range of fuel products can be purchased by motorists,Coles Express Wembley,Shell,337 Cambridge Street,Wembley,Western Australia,-31.94098,115.811994
55,An establishment where a range of fuel products can be purchased by motorists,Coles Express West Perth,Shell,Thomas Street and Wellington Street,West Perth,Western Australia,-31.945662,115.839626
56,An establishment where a range of fuel products can be purchased by motorists,Coles Express Jolimont,Shell,Hay Street and Jersey Street,Jolimont,Western Australia,-31.947362,115.811898
57,An establishment where a range of fuel products can be purchased by motorists,Coles Express Cloverdale,Shell,223 Belmont Avenue,Cloverdale,Western Australia,-31.965068,115.933162
58,An establishment where a range of fuel products can be purchased by motorists,Coles Express Kalamunda,Shell,7 Mead Street,Kalamunda,Western Australia,-31.973541,116.059356
59,An establishment where a range of fuel products can be purchased by motorists,Coles Express South Perth,Shell,391 Mill Point Road,South Perth,Western Australia,-31.974606,115.882016
60,An establishment where a range of fuel products can be purchased by motorists,Coles Express Kewdale,Shell,518 Abernethy Road,Kewdale,Western Australia,-31.980117,115.958419
61,An establishment where a range of fuel products can be purchased by motorists,Coles Express Claremont,Shell,275-281 Stirling Highway,Claremont,Western Australia,-31.982216,115.783957
62,An establishment where a range of fuel products can be purchased by motorists,Coles Express Victoria Park,Shell,66 Kent Street,East Victoria Park,Western Australia,-31.985588,115.896159
